objectid,geoid,opportunity_value,opportunity_text,globalid,fips,access,accessibility_text,livability_value,livability_text,economic_value,economic_text,education_value,education_text,environmental_value,environmental_text,namelsad,tractid,blkarea,peropsps,votp_ind,foodscr,avgrdscr,intacsc,tranratsc,avgcrsc,cosbusc,lifeexrts,utcscr,avgnuiscr,medhmva,avgtestper,avstmort,gradrt,perbacmo,jobscrrts,medhhinc,perstrg,umrt,dslpm,ozone,pm2_5,ptraf,toxrel,ldrsk,ptsdf,pnpl,prmp,pwdis,opspczsc,vtpazsc,fodsczsc,avrdzsc,intaczsc,transczsc,avcrzsc,cosbuzsc,lifzsc,utczsc,avnuzsc,mehmvzsc,teszsc,stumozsc,grdrtzsc,baatzsc,jobzsc,mehhinzsc,stugzsc,unrtzsc,dslpmzsc,ozonezsc,pm2_5zsc,ptrafzsc,toxrezsc,ldrskzsc,ptsdfzsc,pnplzsc,prmpzsc,pwdiszsc,modifier,Shape__Area,Shape__Length
27,530530632003,-0.0759341,Moderate,2f10f5f2-b8b7-409b-a9a6-9d7166b09d11,530530632003,-0.21772308,Low,-0.02010342,Moderate,-0.05212227,Moderate,0.19903359,High,-0.28875531,Low,Block Group 3,53053063200,0.16438197,0.66251233,50.33860045,0.11030175,56.82186586,0.85616438,12.89137845,217.575,0.30357143,79,0.12,11.8,200000,0.46700008,0.11203335,0.90728486,0.30756014,2.01030928,63882,0.25030377,0.03601695,0.97258352,33.0640549,6.79272514,932.24729603,0.63281218,87.6812361,1.59518061,0.2178287,0.18434194,0,-0.87766045,-0.67419643,-0.41857339,-0.06100855,0.27666542,0.44843493,-0.33485738,-0.66449877,0.25401826,-0.62587451,0.15234005,-0.59578035,0.48188556,0.01623689,0.24315986,0.08732583,-0.88255746,-0.09590255,-0.37299028,-0.39698064,-0.03360155,1.25193784,0.65886932,0.17457703,0.88497009,0.72279497,-0.45697237,-0.64792024,-0.74180968,-0.41826844,,4588733.17797852,8955.65870886791
28,530530609043,0.26548057,High,f75479c7-b865-4e22-b834-081625220516,530530609043,0.05222628,Moderate,-0.09418124,Moderate,-0.2290054,Low,0.5973552,High,1.00100803,Very High,Block Group 3,53053060904,0.15670802,1,63.91941392,0.12256408,59.64069002,0.85467128,4.69642842,130.475,0.72368421,79.3,0.13,4.2,241000,0.49982315,0.0815949,0.95017802,0.28954802,1.968523,55417,0.43116329,0,0.68459718,32.38869935,6.60175546,211.55551475,0.5078403,84.03003078,0.23831065,0.17865116,0.16463745,0,0.03580734,0.58147007,-0.39983207,0.17425449,0.26411801,-0.34246013,-0.46396022,1.15646005,0.28988401,-0.55308095,-0.625396,-0.23478667,0.67634988,-0.40408425,1.33545669,-0.02647003,-0.96666094,-0.40382829,0.66885125,-1.12331887,-1.12959473,-1.34996955,-1.75927564,-0.60304808,-1.36636953,0.57764429,-1.15815903,-0.83943219,-0.76038997,-0.41826844,,4355439.47369385,9536.1628851705
29,530530610024,-0.1389476,Moderate,5f6e392f-9ee0-4083-a7b7-a84d0522147b,530530610024,-0.55135601,Very Low,-0.34205749,Low,-0.09072776,Moderate,-0.33018988,Low,0.61959313,Very High,Block Group 4,53053061002,0.14346139,0.88584278,54.2074364,0.12216842,59.31896931,0.54401806,7.01228684,350.15,0.94318182,78.7,0.12,3.5,225400,0.42950006,0.10810002,0.85625017,0.20476858,2.48484848,40362,0.4204793,0,0.80078448,32.48910131,6.64910246,943.39259856,0.52616543,94.31836398,0.40711691,0.19466621,0.21778462,0,-0.27317861,-0.31648828,-0.4004368,0.14740322,-2.34647908,-0.11895651,-0.13834982,2.10786197,0.21815251,-0.62587451,-0.69702958,-0.37214036,0.25971216,-0.0380781,-1.05646531,-0.56208448,0.07255034,-0.95147412,0.60730614,-1.12331887,-0.68741929,-0.96315611,-1.15974643,0.18660279,-1.03624649,0.98664856,-1.07092539,-0.76114565,-0.710275,-0.41826844,,4023650.8692627,8931.5057969377
30,530530612001,-0.20459783,Low,46e91e8e-fcc9-4131-85d8-3842ab34ca3c,530530612001,-0.00304537,Moderate,-0.2714402,Low,-0.34338198,Low,-0.34776855,Low,-0.05735302,Moderate,Block Group 1,53053061200,0.09941809,1.09206862,58.66666667,0.0849462,61.32698461,0.83370288,4.673596,639.9,0.60447761,76.7,0.18,13.6,250500,0.40658838,0.1301059,0.85625008,0.26322418,2.025,53567,0.38512869,0.03813559,0.9636427,32.63809869,6.76307678,318.95376506,0.56999008,92.09340419,3.82130612,0.62015918,1.16468014,0,0.28500672,0.09580706,-0.45732588,0.31499501,0.08790855,-0.34466369,0.29112833,0.63976474,-0.0209525,-0.18911316,0.33654069,-0.1511418,0.1239691,0.2657986,-1.0564675,-0.19277722,-0.85298936,-0.47112452,0.40366891,-0.35425487,-0.06762773,-0.3891216,0.28344827,-0.48716557,-0.24675547,0.8981971,0.69341752,1.31879562,0.18259761,-0.41826844,,2771934.60632324,6795.07468398972
31,530530617002,-0.34612212,Very Low,81b28b94-6f25-4204-823a-38c1eb02a1db,530530617002,0.23087661,High,-0.34400372,Low,-0.62356778,Very Low,-0.36388728,Low,-0.63002844,Very Low,Block Group 2,53053061700,0.11777113,1.3333,51.12359551,0.13436548,60.99566173,0.92481203,11.24805673,314.575,0.58823529,77.3,0.13,15.4,192400,0.38425806,0.13787521,0.90687433,0.08688525,2.71428571,65726,0.40674603,0.17826087,1.18282102,32.73815229,6.81196202,242.12627872,0.62937861,82.51510578,5.51935184,0.76042047,2.42214369,0.0003364,0.93794049,-0.60161669,-0.38179525,0.28734233,0.85355094,0.28983786,-0.1910804,0.56936318,0.050779,-0.55308095,0.52074134,-0.66269625,-0.00832963,0.37308421,0.23270548,-1.30684076,0.53433998,-0.02882457,0.52819561,2.47159093,0.76650191,-0.00365029,0.90245552,-0.57006229,0.82311517,0.51741969,1.57091281,2.00443618,1.36831952,0.15261835,,3278995.87097168,7435.8741114147
32,530530605003,0.61351774,Very High,b8f992a7-62d6-4be7-8621-90292ee6bde7,530530605003,0.41518721,Very High,0.38871826,High,0.69930511,Very High,1.1630412,Very High,0.4013369,High,Block Group 3,53053060500,0.09276078,1.19213325,72.15189873,0.12325618,58.88667876,0.92810458,8.23314893,113.75,0.39285714,81.3,0.21,14,425000,0.63261462,0.04739476,0.92375383,0.55493482,2.312,117917,0.11938202,0.05194805,0.78480849,32.50653464,6.72018852,483.49045708,0.533126,100,1.84939466,0.43819041,0.26119556,0,0.55584865,1.34263622,-0.39877429,0.11132365,0.88122008,-0.00113105,-0.48875063,-0.2774941,0.52898902,0.02926751,0.37747417,1.3852825,1.46308916,-0.87635,0.66255087,1.65017478,-0.2753428,1.8696931,-1.12716517,-0.07570499,-0.74821932,-0.89599161,-0.2596223,-0.30963078,-0.91085344,1.21251735,-0.32560275,0.42927597,-0.66934076,-0.41826844,,2589418.54467773,6482.26950741776
33,530530723052,-0.01694889,Moderate,1eff9a88-c447-439c-a157-bdab41bbc0a7,530530723052,0.2719374,High,0.33510065,High,-0.09055134,Moderate,-0.97851782,Very Low,0.37728664,High,Block Group 2,53053072305,0.16554275,1.6666,67.13735558,0.02663647,50.88174769,0.88087774,3.38973808,184.175,0.10869565,81.7,0,0,265900,0.00035758,0.15490001,0.85625008,0.29901961,2.56603774,74653,0.47455752,0.05447471,0.8077849,32.60461895,6.69152732,929.14477186,0.52653929,97.13170293,1.71799893,0.32771633,0.42398241,0,1.84007364,0.87899728,-0.54644438,-0.55677917,0.48434594,-0.46856888,-0.38436409,-1.50917853,0.57681002,-1.49939721,-1.0551975,-0.01554905,-2.28279496,0.60817775,-1.05646755,0.03336898,0.23596042,0.29590703,0.9188238,-0.02475101,-0.66077768,-0.51810726,-0.62254349,0.17122941,-1.02951153,1.09849054,-0.39350383,-0.11075549,-0.51584133,-0.41826844,,1616.39379882812,1510.74486962914
34,530530606003,0.11686481,High,5e7482e6-de66-464f-97f1-4abf49283ae8,530530606003,0.17049165,High,0.29667632,High,-0.40453426,Low,0.71422657,Very High,-0.19253625,Low,Block Group 3,53053060600,0.08248122,1.3333,64.48087432,0.0315917,45.63412514,0.9138322,10.56556313,243.625,0.38769231,81.6,0.17,7.1,330400,0.55400004,0.08660001,0.92375374,0.43018868,1.72,46635,0.32578616,0.02427184,1.02815258,32.57464118,6.76932432,597.14279448,0.57972097,84.74509417,4.12316894,0.54596622,1.74909098,0.0005093,0.93794049,0.63338206,-0.53887099,-0.99475314,0.76128113,0.22397037,-0.29624511,-0.29988083,0.56485477,-0.26190672,-0.3286283,0.55235563,0.99732751,-0.33496916,0.66254853,0.86206107,-1.46686462,-0.72328532,0.06182618,-0.63383908,0.17787831,-0.63360109,0.36255748,-0.18700012,-0.07145576,0.60607105,0.8494105,0.95611746,0.73366626,0.44602084,,2298627.79388428,7835.89639182852
35,530530607006,0.57806043,Very High,562ebdf4-aa6b-472b-8609-b1dcf1011724,530530607006,-0.03848702,Moderate,0.17728902,High,0.86781496,Very High,1.49745416,Very High,0.38623105,High,Block Group 6,53053060700,0.11442931,0.64612378,65.97510373,0.1896276,50.03954782,0.94117647,6.72061454,170.6,0.40243902,79,0.19,13.4,336000,0.66600009,0.06260001,0.92375374,0.76879699,3.3,89107,0.11369863,0.066787,0.90448747,32.55294641,6.73908661,276.75479871,0.55894992,73.20276821,1.7593356,0.25545657,0.26147503,0,-0.92201886,0.77153681,-0.29733461,-0.62707036,0.99107072,-0.14710582,-0.40448546,-0.23596189,0.25401826,-0.1163196,0.31607396,0.60166209,1.66088545,-0.6663825,0.6625487,3,1.7132105,0.82169068,-1.15990436,0.22354573,-0.29275553,-0.71718341,-0.02032611,-0.53269818,-0.44564152,0.14721533,-0.37214237,-0.46398356,-0.66907724,-0.41826844,,3185947.32531738,7763.11299403196
36,530530611001,0.16756957,High,8160fd28-690a-4723-9b83-cde62486a555,530530611001,0.5813096,Very High,-0.20226792,Low,0.13048374,High,0.09995373,High,0.2283687,High,Block Group 1,53053061100,0.13598256,1.38084301,67.31391586,0.09678792,66.02879661,1,5.88579888,311.55,0.75757576,77.1,0.17,9.8,276400,0.48071856,0.10819538,0.8874175,0.3036566,2.47131148,89318,0.31368187,0.07358491,0.92556901,32.60938235,6.73302404,546.83828145,0.55388847,85.61754512,2.44379625,0.35179994,0.48150075,0,1.06662372,0.89532185,-0.43922744,0.70741486,1.48539855,-0.22767392,-0.19556416,1.30336135,0.0268685,-0.26190672,-0.05232733,0.07690055,0.56316238,-0.0367612,-0.26277292,0.06266428,0.04530432,0.82936609,-0.00790063,0.36063607,-0.21252526,-0.49975556,-0.09709311,-0.24127859,-0.53682224,0.64075462,-0.01843517,0.00697262,-0.46160457,-0.41826844,,3786224.52813721,7787.63637190314
37,530530634002,-0.40194298,Very Low,2da959b6-59f0-4795-9d85-7aeac676fb59,530530634002,-0.87977795,Very Low,-0.2651354,Low,-0.68120232,Very Low,-0.23686736,Moderate,0.05326814,Moderate,Block Group 2,53053063400,0.3696235,0.50129563,50.73221757,0.0452501,43.53815692,0.7195572,0.28881492,243.975,0.70387244,75.5,0.26,15,203500,0.38750005,0.10893335,0.90728489,0.09935205,2.44444444,46344,0.58884615,0.07578397,0.81233389,33.20191046,6.75251831,173.52396841,0.60539609,73.38625759,0.89689511,0.14525237,0.13599973,0,-1.31402087,-0.63780304,-0.51799598,-1.1696856,-0.87132309,-0.76783914,-0.29572632,1.07058687,-0.16441551,0.3932353,0.47980786,-0.56496382,0.01087796,-0.02657071,0.24316063,-1.22807872,-0.0087711,-0.73387084,1.57718363,0.4049837,-0.64346554,1.7830468,0.14975212,-0.64408405,0.39107562,0.1545098,-0.81782381,-1.00269577,-0.78739384,-0.41826844,,10270780.5765991,13105.565389133
38,530530624002,-0.31010026,Low,d48b0e8c-c1cb-4a8d-812c-15106a52dd9b,530530624002,-0.07126388,Moderate,-0.30699162,Low,-0.32328834,Low,-0.41715517,Low,-0.43180227,Low,Block Group 2,53053062400,0.16468675,0.99364256,57.87965616,0.22180149,53.98236033,0.86419753,5.47585341,424.25,0.54658385,74,0.17,12.8,197100,0.44091745,0.11576119,0.84477623,0.20199501,2.02631579,49803,0.37126377,0.03145236,1.3071072,32.95791176,6.81412049,510.22651736,0.64869464,71.61020752,2.03416484,0.25591048,0.65085271,0,0.01859984,0.02304097,-0.2481612,-0.29799768,0.34417256,-0.26723778,-0.02851606,0.38882699,-0.34374426,-0.26190672,0.25467374,-0.62131405,0.32735587,0.06771412,-1.34865527,-0.57960719,-0.85034106,-0.60804507,0.32379997,-0.48903276,1.23949939,0.84300567,0.92978705,-0.28078262,1.17108896,0.08390438,-0.23011947,-0.4617647,-0.30191459,-0.41826844,,4583546.74005127,8538.22805655773
39,530530631002,-0.25329126,Low,442845bc-b62f-43bc-9193-f1d3d6597068,530530631002,-0.19766926,Low,-0.28777051,Low,-0.55960221,Low,-0.06298785,Moderate,-0.15842648,Low,Block Group 2,53053063100,0.21892034,0.99993531,56.89223058,0.04857719,48.1623902,0.88984881,3.92950536,235.875,0.7,78.6,0.11,10.3,212100,0.42131902,0.1330031,0.90728491,0.23033708,2.64444444,59360,0.37284144,0.15680473,1.03864254,32.99726013,6.7892653,60.14941368,0.62076985,90.74124518,1.79429738,0.25947683,0.21858241,0,0.03563223,-0.06825528,-0.51291097,-0.78374058,0.55973498,-0.41647592,-0.30773244,1.05380197,0.20619726,-0.69866807,-0.00116049,-0.48924319,0.21124254,0.30580582,0.24316128,-0.40054938,0.39377005,-0.26039637,0.33288819,2.03889433,0.21780008,0.99460108,0.6150593,-0.76641499,0.66803044,0.84444313,-0.35407524,-0.44433129,-0.70952272,-0.41826844,,6104064.50964355,9903.07270339144
40,530530617003,-0.10483562,Moderate,5d5f83a7-4c0a-4673-9863-f803dcf2553d,530530617003,0.33459889,Very High,-0.07232245,Moderate,0.11816793,Moderate,-0.25746978,Moderate,-0.64715269,Very Low,Block Group 3,53053061700,0.11581957,1.3333,60.23529412,0.10058653,63.87339638,0.92265193,7.20159397,238,0.42105263,77.3,0.13,8.1,197500,0.50200005,0.14080001,0.85625007,0.25429553,2.25,62784,0.18329939,0.0433213,1.18282102,32.73815229,6.81196202,318.6537888,0.62937861,92.88886616,5.80240284,0.85587501,2.03752114,0,0.93794049,0.24084056,-0.43342177,0.52752212,0.83539841,-0.10068647,-0.30458269,-0.1552821,0.050779,-0.55308095,-0.2262946,-0.61779216,0.68924721,0.41347237,-1.05646785,-0.2491861,-0.40013056,-0.13584377,-0.75896909,-0.24967697,0.76650191,-0.00365029,0.90245552,-0.48748924,0.82311517,0.92982004,1.71718444,2.47104751,1.00564071,-0.41826844,,3227410.98504639,7368.08114654183
41,530530629004,-0.13531465,Moderate,93a7a567-1f97-4f39-8b58-09fce4acffd0,530530629004,-0.14073394,Low,-0.50672983,Very Low,0.20713508,High,-0.28572716,Low,0.04948257,Moderate,Block Group 4,53053062900,0.16981528,0.76200101,51.67394469,0.2030992,62.08287376,0.8766756,5.80300235,300.925,0.75757576,75.6,0.11,13,174300,0.34312675,0.11568865,0.90728484,0.12479475,2.75675676,68750,0.23514851,0.07220217,0.93842587,32.91086405,6.75334672,375.07404005,0.56308554,98.50813855,1.87177252,0.28574149,0.36815422,0,-0.60837741,-0.55073203,-0.27674511,0.37808258,0.44903295,-0.23566462,-0.21131293,1.30336135,-0.15246025,-0.69866807,0.27514048,-0.82206175,-0.25201708,0.06671251,0.24315936,-1.0673384,0.61982169,0.08117748,-0.46029213,0.33275096,-0.16359573,0.66174738,0.16024189,-0.4266119,-0.37113929,1.15320962,-0.31403859,-0.3159415,-0.56848438,-0.41826844,,4727144.96856689,9551.92709854505
42,530539400052,0.18251884,High,9034872a-64f1-4dc0-847a-c93617fe5dbe,530539400052,0.17266977,High,0.55586741,Very High,0.18408716,High,0.47434195,High,-0.47437209,Low,Block Group 2,53053940005,0.69627696,1.00176228,62.68292683,0.70136657,56.45256037,0.91162029,1.95168739,242.45,0.36792453,82.9,0.43,12.9,331900,0.45351297,0.06290629,0.92375377,0.32075472,2,100804,0.21143174,0.06583969,1.25206922,32.66581307,6.81388361,246.27455742,0.62000945,45.34817212,6.76761297,0.29954725,4.79966288,0,0.04057725,0.46714589,0.48478879,-0.0918313,0.74269323,-0.60735523,-0.29798674,-0.38556333,0.72027302,1.63072579,0.26490711,0.56556272,0.40197956,-0.6621531,0.66254939,0.17068575,-0.90330701,1.24718475,-0.59691263,0.20444176,1.03004068,-0.28234785,0.9267875,-0.5655863,0.65433189,-0.96012134,2.21597392,-0.24845469,3,-0.41826844,,19409677.8214111,22902.6552839342
43,530539400051,0.11562628,High,8946ce9b-eaae-4860-b114-080a22651618,530539400051,-0.46617169,Very Low,0.73597035,Very High,0.41316996,High,0.25888863,High,-0.36372586,Low,Block Group 1,53053940005,0.61822642,0.20496395,57.39231665,0.20698166,58.13143692,0.86156648,0.3859933,226.8,0.23913043,82.9,0.5,5.8,248200,0.43873013,0.06169629,0.92220355,0.20180995,3.3255132,73839,0.21855922,0.10201794,1.25206922,32.66581307,6.81388361,208.57446562,0.62000945,37.73392557,4.99419191,0.23428829,4.10993112,0,-2.11609299,-0.02201789,-0.27081129,0.0482901,0.32206237,-0.75846045,-0.32118374,-0.94381518,0.72027302,2.1402807,-0.46166209,-0.17139266,0.31439683,-0.6788618,0.62307222,-0.58077633,1.76456106,0.26629669,-0.55585479,0.93403271,1.03004068,-0.28234785,0.9267875,-0.60626463,0.65433189,-1.26281948,1.29952709,-0.56746066,2.95981418,-0.41826844,,17151354.619873,28047.5795436118
44,530530632005,-0.10906926,Moderate,27c1647f-bc28-4146-bf7c-d145ee9d1d2f,530530632005,-0.13620777,Low,0.14018859,High,-0.1675924,Low,-0.06956521,Moderate,-0.31216952,Low,Block Group 5,53053063200,0.10807165,0.86646262,52.33853007,0.60888843,56.1054253,0.71825397,15.05558784,414.55,0.25233645,79,0.13,2,195000,0.46700003,0.11203334,0.90728488,0.1375,2.15517241,63600,0.41949778,0.02453988,0.97258352,33.0640549,6.79272514,798.43741114,0.63281218,94.34304713,1.80499816,0.26483285,0.22351881,0,-0.32563429,-0.48928523,0.34344854,-0.12080368,-0.88227486,0.65730289,-0.04289376,-0.88657435,0.25401826,-0.55308095,-0.85053012,-0.63980397,0.4818853,0.01623677,0.24316055,-0.98706991,-0.59099059,-0.10616068,0.6016521,-0.62843378,-0.03360155,1.25193784,0.65886932,0.03019641,0.88497009,0.98762982,-0.34854543,-0.41814941,-0.70486795,-0.41826844,,3004706.1897583,7199.7291493632
45,530539400082,0.41936129,High,2d619813-486f-4d13-8b50-e60dd1103664,530539400082,0.2043107,High,0.27169703,High,1.05077893,Very High,0.64780849,High,-0.07778872,Moderate,Block Group 2,53053940008,0.27477321,0.87466406,59.3306288,0.6481652,66.16338885,0.93371212,1.21590427,310.1,0.58333333,81.1,0.23,2.5,324600,0.55349217,0.07079948,0.92374694,0.35410485,3.24489796,100833,0.21084704,0.01839827,1.21930772,32.54246471,6.79451148,95.98909403,0.6273053,10.81834431,4.04705554,0.27962783,2.7516934,0,-0.30343571,0.15719624,0.40347773,0.71864812,0.92834351,-0.6783657,-0.19771341,0.54811587,0.50507852,0.17485463,-0.79936327,0.50128824,0.99431853,-0.55315688,0.66237533,0.3813832,1.60230631,1.24823967,-0.60028078,-0.75228895,0.90535982,-0.75756571,0.68148875,-0.72774404,0.78576493,-2.33282638,0.81007755,-0.34582699,1.67906754,-0.41826844,,7647335.16668701,13012.0627418922
46,530530609051,0.10159506,High,231b0ceb-46fd-4797-b5c2-2ffafca1b4e3,530530609051,-0.4778427,Very Low,0.1535237,High,-0.47855442,Low,0.44158349,High,0.86926524,Very High,Block Group 1,53053060905,0.17856488,0.30518821,54.59236326,0.37210811,78.26571774,0.58885687,3.25105129,432.725,0.51948052,80,0.15,0,285300,0.53178009,0.10062884,0.94818263,0.21060071,2.30327869,41042,0.41156841,0.06257521,0.64393604,32.38641699,6.59113989,2140.73871426,0.50980088,37.63025596,0.40186683,0.19293851,0.19483022,0,-1.84481896,-0.28089838,-0.01843798,1.72872553,-1.96967286,-0.48195355,-0.0159541,0.27134889,0.37357076,-0.40749384,-1.0551975,0.15526259,0.86568269,-0.14124675,1.28464315,-0.52523865,-0.29289624,-0.9267382,0.55597493,0.13860832,-1.28433935,-1.35876265,-1.89369487,1.47853705,-1.33105013,-1.26694078,-1.07363847,-0.76959118,-0.73191978,-0.41826844,,4971242.33911133,11095.5841936085
47,530530615001,0.02551797,Moderate,b193b95f-c78e-42d3-b5fa-4e925387a673,530530615001,-0.03900908,Moderate,0.29363104,High,0.02163685,Moderate,0.71761768,Very High,-0.86628663,Very Low,Block Group 1,53053061500,0.18591421,1.26468513,60.72507553,0.09074936,45.54326441,0.80018501,12.1009647,737.625,0.39120631,76.8,0.31,5.9,348700,0.52128321,0.09447397,0.92395379,0.47942073,2.31689088,45281,0.2745098,0.01151832,1.52180477,32.61063007,6.80502131,800.66814898,0.63105866,89.29180309,5.82575893,0.61694848,2.67896855,0.00085947,0.75222266,0.28612519,-0.44845655,-1.00233651,-0.19376132,0.37215206,0.43597994,-0.28464954,-0.00899725,0.7572031,-0.45142872,0.71348208,0.80349261,-0.22623864,0.6676431,1.17309638,-0.2654989,-0.77253889,-0.23355137,-0.8910338,2.05657661,-0.49494856,0.81456908,0.03260337,0.85338095,0.78682174,1.72925412,1.3031007,1.61049183,1.04026818,,5159027.88311768,14614.7571559802
48,530530626001,-0.32660543,Low,8abde1a0-12db-417c-a7c1-8c78cae110dc,530530626001,0.32748934,Very High,-1.46249886,Very Low,0.01837429,Moderate,-0.37267252,Low,-0.14371939,Low,Block Group 1,53053062600,1.68483896,1.12834294,46.5437788,1.45403508,55.91132975,0.7440585,26.6273636,2682.675,0.56796117,70.9,0.09,50.5,184200,0.40372036,0.14551329,0.86947974,0.23049645,2.75460731,40977,0.23964257,0.05804749,0.99835304,32.7946268,6.77686148,706.8329254,0.57662425,60.73144597,3.52105115,0.64216104,0.72611332,6.362e-05,0.38318934,-1.02506131,1.63514021,-0.13700317,-0.66542458,1.77409558,3,0.48148594,-0.71435702,-0.84425519,3,-0.73489499,0.10697718,0.47855751,-0.71956726,-0.39954249,0.6154955,-0.92910267,-0.43440413,0.04729981,0.06446985,0.21392613,0.45799642,-0.06864467,-0.12724243,-0.34857188,0.53825543,1.42634752,-0.2309478,-0.31030304,,46953323.1114502,54699.3247112806
49,530539400081,0.22334894,High,f4f29730-3c15-40a7-a6f4-a5fe141b0b85,530539400081,-0.00999942,Moderate,0.33227746,High,0.17094983,High,0.73867274,Very High,-0.1151559,Moderate,Block Group 1,53053940008,0.52920473,0.84667765,59.9729547,0.24244812,62.14973,0.90909091,0.10177879,302.3,0.54058442,81.1,0.28,7.5,360300,0.55350006,0.07080001,0.92375376,0.41160067,2.46969697,67188,0.21151717,0.05466238,1.21930772,32.54246471,6.79451148,18.88331012,0.6273053,28.47521467,3.86553432,0.29859662,2.72207537,3.181e-05,-0.37918567,0.21658496,-0.21660564,0.3836625,0.72143735,-0.78589001,-0.20927485,0.36282272,0.50507852,0.53882242,-0.28769482,0.81561687,0.99436528,-0.55314967,0.66254918,0.74462686,0.0420548,0.02435764,-0.59642055,-0.02096632,0.90535982,-0.75756571,0.68148875,-0.81094104,0.78576493,-1.63089195,0.71627323,-0.25310168,1.6511393,-0.36429394,,14776368.3469849,20357.2985655441
50,530539400021,0.16230699,High,5d2e3745-bf40-4161-ba78-36f32560e04b,530539400021,0.51091701,Very High,0.71824709,Very High,0.80055286,Very High,-0.60378086,Very Low,-0.61440116,Very Low,Block Group 1,53053940002,1.42191678,0.82903117,60.19522777,0.97658879,87.5,0.8487395,4.47515534,0,0.64705882,80.1,0.51,0,361100,0.06868649,0.2147888,0.94115484,0.26086957,3.02152047,83611,0.19797297,0.01834862,1.26341551,32.91170196,6.81200383,1222.92609137,0.6263568,61.0067883,5.04624945,0.18051913,2.4481969,0.00016897,-0.42694888,0.23713607,0.90542851,2.49943173,0.21426983,-0.36381521,-0.65735508,0.82433097,0.38552601,2.21307426,-1.0551975,0.82266065,-1.87797198,1.43517515,1.10567678,-0.20765307,1.15271314,0.6217663,-0.67444189,-0.75329011,1.07322141,0.66497555,0.90298485,0.48821891,0.76867791,-0.33762587,1.32642875,-0.83030098,1.39288633,-0.13152809,,3362600.02539062,14601.052943048
51,530539400022,-0.29799209,Low,862f1646-57eb-4e41-8b97-cfcde1c067ab,530539400022,0.1300702,High,0.06146791,Moderate,-0.07445866,Moderate,-0.44439212,Low,-1.1626478,Very Low,Block Group 2,53053940002,3.19705601,0.34444319,46.63299663,1.8410041,57.62213287,0.78657074,24.9438485,76.425,0.4965035,80.1,0.03,1.4,265400,0.29677001,0.21519401,0.94113176,0.14887218,2.78124735,44922,0.37044534,0.04887218,1.26341551,32.91170196,6.81200383,3156.49294697,0.6263568,50.23761683,7.8746242,0.21143417,3.0041153,0.00154918,-1.73856868,-1.01681233,2.22656972,0.00578286,-0.30816984,1.61161945,-0.54407512,0.17175608,0.38552601,-1.28101654,-0.91193033,-0.01995141,-0.5266633,1.44077066,1.1050889,-0.91522343,0.66911405,-0.785598,0.31908545,-0.13773476,1.07322141,0.66497555,0.90298485,2.57453401,0.76867791,-0.76574546,2.78804164,-0.67917867,1.9170881,2.21072392,,30596060.2490845,30072.7660599406
52,530539400112,0.86406429,Very High,39ae0f80-f2e1-4956-8b21-0b9110a34dcb,530539400112,0.34161173,Very High,1.03251839,Very High,1.42772016,Very High,1.13860431,Very High,0.37986686,High,Block Group 2,53053940011,0.41744686,0.96486564,73.53648757,0.00689995,66.76926679,0.97087379,0.00806414,122.425,0.09090909,83.7,0.31,2,461800,0.56656862,0.0372,0.92375377,0.57911647,3.20731707,134545,0.06206897,0.04318937,1.09330135,32.48291765,6.76679536,5.05332857,0.59799482,10.81834431,1.31566348,0.22305971,0.83779039,0,-0.05928979,1.47065372,-0.57660897,0.76921554,1.24063428,-0.79493442,-0.47589222,-1.58627353,0.81591503,0.7572031,-0.85053012,1.70929634,1.07179158,-1.01712828,0.66254925,1.80294811,1.52666704,2.47455891,-1.45731712,-0.25233756,0.42581583,-0.98697958,0.33053462,-0.82586357,0.25774337,-2.33282638,-0.60141782,-0.62234942,-0.1256422,-0.41826844,,11696452.9785156,18759.2230872647
53,530530635021,-0.25458046,Low,8ef6e8a9-91b8-45ee-bca0-f42429c50ffd,530530635021,-0.43970375,Very Low,-0.12687703,Moderate,-0.66726341,Very Low,-0.10704168,Moderate,0.06798357,Moderate,Block Group 1,53053063502,0.12440406,0.2926695,40.65934066,0.28975886,61.3904602,0.95353535,3.46490606,267.3,0.63934426,75.5,0.16,5.6,243300,0.33900003,0.10533335,0.90728491,0.219163,2,39739,0.43356643,0.06110283,0.89952541,33.15162157,6.72267186,437.27110612,0.61408473,49.01700462,1.06446901,0.19210966,0.16769093,0,-1.878703,-1.56912974,-0.1442976,0.32029277,1.09492949,-0.46131442,-0.26115315,0.79089257,-0.16441551,-0.33470028,-0.48212883,-0.21453581,-0.27646636,-0.07628267,0.24316129,-0.47114433,-0.90330701,-0.97413658,0.68269458,0.10891549,-0.31163969,1.5893014,-0.2281772,-0.35950138,0.54759953,-0.8142699,-0.73122702,-0.77364284,-0.7575107,-0.41826844,,3467692.45507812,7913.88590137516
